Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2020-12-20,89.84421115,84.43455089,88.97544294,85.96947236,280308987.27089214,1031344697.275862
Aave,2020-12-21,87.63337491,77.89985001,85.96909929,81.31193717,215489072.06714505,975723269.0679436
Aave,2020-12-22,85.61030076,76.15550286,81.22589588,84.10955202,244392689.8707386,1009442760.1055428
Aave,2020-12-23,84.26820383,63.67705336,84.10286783,75.21556665,278229984.1943121,902812157.557945
Aave,2020-12-24,80.4439646,71.28719443,75.31676447,80.25657151,289878177.16607887,963409600.2909256
Aave,2020-12-25,81.50417507,75.92070481,80.25962689,79.79518007,172743359.15124372,958013751.496413
Aave,2020-12-26,79.9801058,73.80886762,79.82209367,74.868333,181386506.709466,898979377.0145285
Aave,2020-12-27,81.52688405,72.60726467,74.87591603,76.96798485,213855387.96349987,924546580.8374872
Aave,2020-12-28,85.21962997,76.16170207,76.91174253,81.88362359,226663289.81516027,984160252.9022946
Aave,2020-12-29,82.70331397,75.19173596,81.86660056,77.90199883,163464865.4658465,936493441.5518984
Aave,2020-12-30,84.9367816,77.10187416,77.9061581,80.88830364,205643884.0541269,973018228.8535388
Aave,2020-12-31,87.6998754,78.42604748,80.85524534,87.5274822,204471306.25616992,1053210331.410881
Aave,2021-01-01,90.34967103,85.12559659,87.54330564,90.34967103,202515778.52722812,1087592822.2173798
Aave,2021-01-02,91.77162009,82.78576283,90.38482799,85.71284343,221843920.0913869,1032020483.2481196
Aave,2021-01-03,92.42910958,81.85337486,85.71298896,91.09664966,298884107.1168472,1097389994.1441915
Aave,2021-01-04,111.89987356,88.20161002,91.2304962,111.13203789,619262373.131525,1339476346.339024
Aave,2021-01-05,119.95772976,99.53225695,111.15107382,116.45382785,573305329.4852206,1404342547.249715
Aave,2021-01-06,119.8851618,109.85704892,116.5014983,115.00081244,392901334.3399963,1389419870.2162387
Aave,2021-01-07,125.1173602,110.95208917,114.98445149,114.94044678,467716121.23043567,1391148360.454535
Aave,2021-01-08,117.47867697,100.96896688,114.88431038,111.70277995,501393571.617764,1352221085.0091486
Aave,2021-01-09,118.94047169,106.45365528,111.70262962,117.66696294,337620867.7593545,1424946042.5667017
Aave,2021-01-10,134.09957064,113.93094463,117.67017938,126.20067343,512402602.85617554,1528930605.940942
Aave,2021-01-11,126.14799918,95.15299713,126.14799918,115.60195207,610095319.0815829,1402127902.577836
Aave,2021-01-12,132.76556292,109.99994684,115.43930415,126.05295916,541259410.5638888,1529400855.541191
Aave,2021-01-13,147.4692885,120.68138915,126.10963722,147.4692885,540090767.4245772,1799950317.2789989
Aave,2021-01-14,153.16103357,139.53990497,147.17831817,147.2622138,467793933.9662259,1797974219.3641748
Aave,2021-01-15,163.0450734,141.03971198,147.32644957,162.5793443,588428158.2173206,1988529819.238264
Aave,2021-01-16,199.42680205,162.69362454,162.69362454,182.93181721,896636347.4520636,2238510904.062113
